student_id,date_registered,first_date_watched,first_date_purchased,days_diff_reg_watch,days_diff_watch_purch
255193,2021-12-01,2021-12-01,NULL,0,NULL
255194,2021-12-01,2021-12-01,NULL,0,NULL
255198,2021-12-01,2022-02-17,NULL,78,NULL
255199,2021-12-01,2021-12-01,NULL,0,NULL
255200,2021-12-01,2021-12-01,NULL,0,NULL
255202,2021-12-01,2021-12-01,NULL,0,NULL
255203,2021-12-01,2021-12-01,2021-12-01,0,0
255204,2021-12-01,2021-12-01,2021-12-01,0,0
255205,2021-12-01,2021-12-01,NULL,0,NULL
255206,2021-12-01,2021-12-01,2021-12-02,0,1
255207,2021-12-01,2021-12-01,2021-12-01,0,0
255209,2021-12-01,2021-12-01,NULL,0,NULL
255211,2021-12-01,2021-12-02,NULL,1,NULL
255215,2021-12-01,2021-12-30,NULL,29,NULL
255218,2021-12-01,2021-12-01,2021-12-01,0,0
255222,2021-12-01,2021-12-01,NULL,0,NULL
255227,2021-12-01,2022-02-01,NULL,62,NULL
255235,2021-12-01,2021-12-01,NULL,0,NULL
255238,2021-12-01,2021-12-01,NULL,0,NULL
255239,2021-12-01,2021-12-01,NULL,0,NULL
255241,2021-12-01,2022-01-26,2022-03-21,56,54
255243,2021-12-01,2021-12-01,2021-12-01,0,0
255245,2021-12-01,2021-12-01,NULL,0,NULL
255246,2021-12-01,2021-12-01,NULL,0,NULL
255253,2021-12-01,2021-12-01,NULL,0,NULL
255254,2021-12-01,2021-12-03,NULL,2,NULL
255260,2021-12-01,2021-12-01,NULL,0,NULL
255261,2021-12-01,2021-12-07,NULL,6,NULL
255262,2021-12-01,2021-12-24,2021-12-24,23,0
255268,2021-12-01,2021-12-01,2021-12-28,0,27
255269,2021-12-01,2021-12-01,2021-12-01,0,0
255271,2021-12-01,2021-12-01,2021-12-01,0,0
255272,2021-12-01,2021-12-01,2021-12-01,0,0
255279,2021-12-01,2021-12-01,2021-12-01,0,0
255280,2021-12-01,2021-12-04,2021-12-04,3,0
255283,2021-12-01,2021-12-05,NULL,4,NULL
255285,2021-12-01,2021-12-07,NULL,6,NULL
255286,2021-12-01,2021-12-02,NULL,1,NULL
255287,2021-12-01,2021-12-01,NULL,0,NULL
255294,2021-12-01,2021-12-01,NULL,0,NULL
255297,2021-12-01,2021-12-01,NULL,0,NULL
255301,2021-12-01,2022-08-27,NULL,269,NULL
255302,2021-12-01,2021-12-01,NULL,0,NULL
255306,2021-12-01,2021-12-01,2021-12-02,0,1
255309,2021-12-01,2021-12-01,NULL,0,NULL
255310,2021-12-01,2021-12-01,NULL,0,NULL
255312,2021-12-01,2021-12-01,2021-12-01,0,0
255315,2021-12-01,2021-12-01,2021-12-01,0,0
255318,2021-12-01,2021-12-01,2021-12-01,0,0
255319,2021-12-01,2021-12-01,NULL,0,NULL
255329,2021-12-01,2022-06-06,NULL,187,NULL
255331,2021-12-01,2021-12-01,NULL,0,NULL
255332,2021-12-01,2021-12-01,2021-12-01,0,0
255335,2021-12-01,2021-12-01,2021-12-01,0,0
255338,2021-12-01,2021-12-01,2021-12-01,0,0
255340,2021-12-01,2021-12-01,NULL,0,NULL
255344,2021-12-01,2021-12-01,2021-12-01,0,0
255345,2021-12-01,2021-12-01,NULL,0,NULL
255346,2021-12-01,2021-12-01,2021-12-01,0,0
255347,2021-12-01,2021-12-01,NULL,0,NULL
255348,2021-12-01,2021-12-01,2021-12-01,0,0
255349,2021-12-01,2021-12-01,2021-12-01,0,0
255351,2021-12-01,2021-12-01,NULL,0,NULL
255358,2021-12-02,2021-12-02,NULL,0,NULL
255361,2021-12-02,2021-12-02,NULL,0,NULL
255363,2021-12-02,2021-12-02,NULL,0,NULL
255365,2021-12-02,2021-12-02,NULL,0,NULL
255367,2021-12-02,2021-12-02,2021-12-06,0,4
255368,2021-12-02,2021-12-02,NULL,0,NULL
255372,2021-12-02,2021-12-02,2021-12-02,0,0
255375,2021-12-02,2021-12-02,NULL,0,NULL
255377,2021-12-02,2021-12-02,NULL,0,NULL
255378,2021-12-02,2021-12-02,2021-12-02,0,0
255381,2021-12-02,2021-12-02,NULL,0,NULL
255382,2021-12-02,2021-12-02,NULL,0,NULL
255384,2021-12-02,2022-01-29,NULL,58,NULL
255389,2021-12-02,2021-12-02,NULL,0,NULL
255391,2021-12-02,2021-12-02,2021-12-02,0,0
255396,2021-12-02,2021-12-02,2021-12-06,0,4
255397,2021-12-02,2021-12-02,2021-12-02,0,0
255398,2021-12-02,2021-12-02,NULL,0,NULL
255400,2021-12-02,2021-12-02,NULL,0,NULL
255404,2021-12-02,2022-09-05,NULL,277,NULL
255406,2021-12-02,2021-12-02,2021-12-02,0,0
255407,2021-12-02,2021-12-02,NULL,0,NULL
255413,2021-12-02,2021-12-02,NULL,0,NULL
255414,2021-12-02,2021-12-02,NULL,0,NULL
255419,2021-12-02,2021-12-02,NULL,0,NULL
255421,2021-12-02,2022-02-17,NULL,77,NULL
255422,2021-12-02,2021-12-02,NULL,0,NULL
255425,2021-12-02,2021-12-02,NULL,0,NULL
255426,2021-12-02,2021-12-02,NULL,0,NULL
255431,2021-12-02,2021-12-02,NULL,0,NULL
255433,2021-12-02,2021-12-24,NULL,22,NULL
255435,2021-12-02,2021-12-02,NULL,0,NULL
255439,2021-12-02,2021-12-02,NULL,0,NULL
255441,2021-12-02,2021-12-02,NULL,0,NULL
255442,2021-12-02,2021-12-02,NULL,0,NULL
255443,2021-12-02,2021-12-02,NULL,0,NULL
255444,2021-12-02,2021-12-02,NULL,0,NULL
255447,2021-12-02,2021-12-02,NULL,0,NULL
255449,2021-12-02,2021-12-02,2021-12-05,0,3
255451,2021-12-02,2021-12-02,NULL,0,NULL
255452,2021-12-02,2021-12-02,NULL,0,NULL
255455,2021-12-02,2021-12-02,NULL,0,NULL
255462,2021-12-02,2021-12-02,NULL,0,NULL
255464,2021-12-02,2021-12-02,NULL,0,NULL
255465,2021-12-02,2021-12-02,NULL,0,NULL
255476,2021-12-02,2021-12-02,NULL,0,NULL
255477,2021-12-02,2021-12-02,NULL,0,NULL
255478,2021-12-02,2021-12-03,NULL,1,NULL
255479,2021-12-02,2021-12-02,NULL,0,NULL
255480,2021-12-02,2021-12-13,NULL,11,NULL
255481,2021-12-02,2021-12-04,NULL,2,NULL
255488,2021-12-02,2021-12-04,2021-12-04,2,0
255492,2021-12-02,2021-12-03,NULL,1,NULL
255493,2021-12-02,2021-12-02,NULL,0,NULL
255494,2021-12-02,2021-12-02,NULL,0,NULL
255495,2021-12-02,2021-12-02,NULL,0,NULL
255496,2021-12-02,2021-12-03,NULL,1,NULL
255498,2021-12-02,2021-12-02,NULL,0,NULL
255502,2021-12-02,2021-12-02,NULL,0,NULL
255508,2021-12-02,2021-12-08,NULL,6,NULL
255509,2021-12-02,2021-12-02,NULL,0,NULL
255511,2021-12-02,2022-04-17,NULL,136,NULL
255513,2021-12-02,2021-12-02,NULL,0,NULL
255515,2021-12-03,2021-12-03,NULL,0,NULL
255516,2021-12-03,2021-12-03,NULL,0,NULL
